npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  4/12/2026 10:23:45 PM ::1 GET /
 HTTP  4/12/2026 10:23:45 PM ::1 Returned 200 in 25 ms
 HTTP  4/12/2026 10:23:45 PM ::1 GET /_expo/static/css/web-5cd7cc1e996bbfe502b420b96c3739ff.css
 HTTP  4/12/2026 10:23:45 PM ::1 GET /_expo/static/js/web/entry-e864d4c10a8473d8fb14dadc8b76697b.js
 HTTP  4/12/2026 10:23:45 PM ::1 Returned 200 in 4 ms
 HTTP  4/12/2026 10:23:45 PM ::1 Returned 200 in 20 ms
 HTTP  4/12/2026 10:23:50 PM ::1 GET /dashboard
 HTTP  4/12/2026 10:23:50 PM ::1 Returned 200 in 2 ms
 HTTP  4/12/2026 10:23:50 PM ::1 GET /_expo/static/css/web-5cd7cc1e996bbfe502b420b96c3739ff.css
 HTTP  4/12/2026 10:23:50 PM ::1 GET /_expo/static/js/web/entry-e864d4c10a8473d8fb14dadc8b76697b.js
 HTTP  4/12/2026 10:23:50 PM ::1 Returned 304 in 2 ms
 HTTP  4/12/2026 10:23:50 PM ::1 Returned 304 in 2 ms
